ent,año,categoria,porcentaje,value,cve_ent,nom_ent
19,2016,pobreza_e,0.0126279536794418,66887,19,Nuevo León
19,2016,vul_car,0.280430362745692,1485367,19,Nuevo León
19,2016,vul_ing,0.0921428855970112,488057,19,Nuevo León
19,2016,no_pobv,0.439023354171934,2325393,19,Nuevo León
19,2016,ic_rezedu,0.122311625205008,647853,19,Nuevo León
19,2016,ic_asalud,0.133237022538954,705722,19,Nuevo León
19,2016,ic_segsoc,0.310766752612595,1646051,19,Nuevo León
19,2016,ic_cv,0.0498455559748911,264019,19,Nuevo León
19,2016,ic_sbv,0.027304336761039,144624,19,Nuevo León
19,2016,ic_ali_nc,0.147139911126484,779362,19,Nuevo León
19,2016,carencias,0.468833760231052,2483291,19,Nuevo León
19,2016,carencias3,0.0743264584770141,393688,19,Nuevo León
19,2016,plp_e,0.042981523921974,227662,19,Nuevo León
19,2016,plp,0.280546283082372,1485981,19,Nuevo León
20,2016,pobreza,0.679776094786664,2660507,20,Oaxaca
20,2016,pobreza_m,0.43721279503623,1711163,20,Oaxaca
20,2016,pobreza_e,0.242563299750448,949344,20,Oaxaca
20,2016,vul_car,0.217903372145581,852830,20,Oaxaca
20,2016,vul_ing,0.0203732997019009,79737,20,Oaxaca
20,2016,no_pobv,0.081947233365842,320725,20,Oaxaca
20,2016,ic_rezedu,0.285074936142607,1115726,20,Oaxaca
20,2016,ic_asalud,0.158760324687087,621356,20,Oaxaca
20,2016,ic_segsoc,0.804727325036352,3149541,20,Oaxaca
20,2016,ic_cv,0.262737304598424,1028301,20,Oaxaca
20,2016,ic_sbv,0.619842511074277,2425939,20,Oaxaca
20,2016,ic_ali_nc,0.349554231068082,1368085,20,Oaxaca
20,2016,carencias,0.897679466932258,3513337,20,Oaxaca
20,2016,carencias3,0.505431679041265,1978158,20,Oaxaca
20,2016,plp_e,0.330954144553675,1295288,20,Oaxaca
20,2016,plp,0.700149394488569,2740244,20,Oaxaca
21,2016,pobreza,0.581260894097856,3674532,21,Puebla
21,2016,pobreza_m,0.501682391183189,3171464,21,Puebla
21,2016,pobreza_e,0.0795785029146632,503068,21,Puebla
21,2016,vul_car,0.220271678770298,1392482,21,Puebla
21,2016,vul_ing,0.056051601660767,354339,21,Puebla
21,2016,no_pobv,0.142415825471075,900304,21,Puebla
21,2016,ic_rezedu,0.211330035780176,1335956,21,Puebla
21,2016,ic_asalud,0.173781494313912,1098587,21,Puebla
21,2016,ic_segsoc,0.694027689259323,4387405,21,Puebla
21,2016,ic_cv,0.144676308758923,914594,21,Puebla
21,2016,ic_sbv,0.257174187084178,1625767,21,Puebla
21,2016,ic_ali_nc,0.236868593155244,1497402,21,Puebla
21,2016,carencias,0.801532572868172,5067014,21,Puebla
21,2016,carencias3,0.254773392482383,1610590,21,Puebla
21,2016,plp_e,0.176636125623392,1116633,21,Puebla
21,2016,plp,0.637312495758626,4028871,21,Puebla
22,2016,pobreza,0.296880861919208,640193,22,Querétaro
22,2016,pobreza_m,0.271810339190791,586131,22,Querétaro
22,2016,pobreza_e,0.0250705227284216,54062,22,Querétaro
22,2016,vul_car,0.312743896416103,674400,22,Querétaro
22,2016,vul_ing,0.0859201714712085,185278,22,Querétaro
22,2016,no_pobv,0.304455070193477,656526,22,Querétaro
22,2016,ic_rezedu,0.156579702160594,337648,22,Querétaro
22,2016,ic_asalud,0.131750786149303,284107,22,Querétaro
22,2016,ic_segsoc,0.45935419127368,990550,22,Querétaro
22,2016,ic_cv,0.0971537244765224,209502,22,Querétaro
22,2016,ic_sbv,0.127482091655664,274902,22,Querétaro
22,2016,ic_ali_nc,0.146939547773438,316860,22,Querétaro
22,2016,carencias,0.609624758335301,1314593,22,Querétaro
22,2016,carencias3,0.12609737446305,271916,22,Querétaro
22,2016,plp_e,0.0677848281183845,146171,22,Querétaro
22,2016,plp,0.382801033390415,825471,22,Querétaro
23,2016,pobreza,0.316528532656665,537882,23,Quintana Roo
23,2016,pobreza_m,0.266237121288801,452421,23,Quintana Roo
23,2016,pobreza_e,0.050291411367868,85461,23,Quintana Roo
23,2016,vul_car,0.333107556216734,566055,23,Quintana Roo
23,2016,vul_ing,0.0633966843129824,107731,23,Quintana Roo
23,2016,no_pobv,0.286967226813611,487648,23,Quintana Roo
23,2016,ic_rezedu,0.159799589952665,271550,23,Quintana Roo
23,2016,ic_asalud,0.176263861459552,299528,23,Quintana Roo
23,2016,ic_segsoc,0.454179210929569,771794,23,Quintana Roo
23,2016,ic_cv,0.169886589663138,288691,23,Quintana Roo
23,2016,ic_sbv,0.195053774577541,331458,23,Quintana Roo
23,2016,ic_ali_nc,0.193429591671004,328698,23,Quintana Roo
23,2016,carencias,0.649636088873429,1103937,23,Quintana Roo
23,2016,carencias3,0.198413361611382,337167,23,Quintana Roo
23,2016,plp_e,0.0988026947312916,167897,23,Quintana Roo
23,2016,plp,0.379925216969646,645613,23,Quintana Roo
24,2016,pobreza,0.441371867816957,1217982,24,San Luis Potosí
24,2016,pobreza_m,0.377269085357436,1041088,24,San Luis Potosí
24,2016,pobreza_e,0.0641027824595215,176894,24,San Luis Potosí
24,2016,vul_car,0.245404935683052,677204,24,San Luis Potosí
24,2016,vul_ing,0.0724273673445945,199866,24,San Luis Potosí
24,2016,no_pobv,0.240795829155398,664485,24,San Luis Potosí
24,2016,ic_rezedu,0.187721708388037,518025,24,San Luis Potosí
24,2016,ic_asalud,0.0909029304553624,250850,24,San Luis Potosí
24,2016,ic_segsoc,0.559167715453702,1543044,24,San Luis Potosí
24,2016,ic_cv,0.0969724268962509,267599,24,San Luis Potosí
24,2016,ic_sbv,0.247251984662647,682301,24,San Luis Potosí
24,2016,ic_ali_nc,0.208010256793079,574012,24,San Luis Potosí
24,2016,carencias,0.686776803499999,1895186,24,San Luis Potosí
24,2016,carencias3,0.190698294677696,526239,24,San Luis Potosí
24,2016,plp_e,0.148619859056066,410122,24,San Luis Potosí
24,2016,plp,0.513799235161544,1417848,24,San Luis Potosí
25,2016,pobreza,0.304580423920014,895736,25,Sinaloa
25,2016,pobreza_m,0.278998668768078,820503,25,Sinaloa
25,2016,pobreza_e,0.0255817551519356,75233,25,Sinaloa
25,2016,vul_car,0.305993263932455,899891,25,Sinaloa
25,2016,vul_ing,0.0759693085584781,223417,25,Sinaloa
25,2016,no_pobv,0.313457003589059,921841,25,Sinaloa
25,2016,ic_rezedu,0.164967688297911,485151,25,Sinaloa
25,2016,ic_asalud,0.122103040411305,359091,25,Sinaloa
25,2016,ic_segsoc,0.415676913582138,1222458,25,Sinaloa
25,2016,ic_cv,0.112691587736344,331413,25,Sinaloa
25,2016,ic_sbv,0.127853690300708,376003,25,Sinaloa
25,2016,ic_ali_nc,0.229774710673828,675741,25,Sinaloa
25,2016,carencias,0.61057368785246,1795627,25,Sinaloa
25,2016,carencias3,0.145983947009149,429322,25,Sinaloa
25,2016,plp_e,0.0733462886172016,215703,25,Sinaloa
25,2016,plp,0.380549732478495,1119153,25,Sinaloa
26,2016,pobreza,0.270077695153952,768014,26,Sonora
26,2016,pobreza_m,0.248996897679696,708067,26,Sonora
26,2016,pobreza_e,0.0210807974742569,59947,26,Sonora
26,2016,vul_car,0.298161043549935,847874,26,Sonora
26,2016,vul_ing,0.0836888002087439,237984,26,Sonora
26,2016,no_pobv,0.348072461087361,989806,26,Sonora
26,2016,ic_rezedu,0.134163924326172,381519,26,Sonora
26,2016,ic_asalud,0.146869300954609,417649,26,Sonora
26,2016,ic_segsoc,0.383839168851038,1091515,26,Sonora
26,2016,ic_cv,0.0950251751428965,270221,26,Sonora
